OBJECTID;DT_MAJ_GDUNO;COMBINE_NUO_NUI;CD_ORGNS;NOM_COURT_ORGNS;NOM_OFFCL_ORGNS;ADRS_GEO_L1_GDUNO_ORGNS;ADRS_GEO_L2_GDUNO_ORGNS;CD_POSTL_GDUNO_ORGNS;CD_MUNCP_GDUNO_ORGNS;NOM_MUNCP_GDUNO_ORGNS;CD_IMM;NOM_IMM;ADRS_GEO_L1_GDUNO_IMM;ADRS_GEO_L2_GDUNO_IMM;CD_MUNCP_GDUNO_IMM;NOM_MUNCP_GDUNO_IMM;CD_POSTL_GDUNO_IMM;PRESC;PRIM;SEC;FORM_PRO;ADULTE;SITE_WEB_ORGNS;COORD_X_LL84_IMM;COORD_Y_LL84_IMM;ORDRE_ENS;CD_CS;TYPE_CS;STYLE_CART
843;20200706;121961067;821383;CEA de Montmagny-L'Islet-Nord;Centre d'éducation des adultes de Montmagny - L'Islet-Nord;111, rue Saint-Pierre;;G5V2P7;18050;Montmagny;821048;Monseigneur-Sirois;9, boulevard du Sacré-Coeur;;18045;Cap-Saint-Ignace;G0R1H0;0;0;0;0;1;http://ceamontmagnylislet.cscotesud.qc.ca/;-70.457619;47.038142;Éducation aux adultes;821000;Franco;9_OrgImm_Franco_Adu
844;20200706;121631067;821148;École Monseigneur-Sirois;École Monseigneur-Sirois;9, boulevard du Sacré-Coeur;;G0R1H0;18045;Cap-Saint-Ignace;821048;Monseigneur-Sirois;9, boulevard du Sacré-Coeur;;18045;Cap-Saint-Ignace;G0R1H0;1;1;0;0;0;http://mgrsirois.cscotesud.qc.ca/;-70.457619;47.038142;Préscolaire - Primaire;821000;Franco;4_OrgImm_Franco_presc_prim
845;20200706;9901986;734004;École de l'Harmonie;École de l'Harmonie;15, rue Saint-Edmond;;G1E5C8;23027;Québec;734003;Monseigneur-Robert;769, avenue de l'Éducation;;23027;Québec;G1E1J2;1;1;0;0;0;http://saintedouard.csdps.qc.ca;-71.188807;46.87054;Préscolaire - Primaire;734000;Franco;4_OrgImm_Franco_presc_prim
846;20200706;9902987;734005;École de Saint-Michel;École de Saint-Michel;453, rue Seigneuriale;;G1C3R2;23027;Québec;734005;Saint-Michel, de;453, rue Seigneuriale;;23027;Québec;G1C3R2;1;1;0;0;0;http://saintmichel.csdps.qc.ca;-71.211069;46.889332;Préscolaire - Primaire;734000;Franco;4_OrgImm_Franco_presc_prim
847;20200706;9906988;734007;École du Trivent;École du Trivent;3, rue du Couvent;;G0A3K0;22045;Sainte-Brigitte-de-Laval;734007;Trivent 1, du;3, rue du Couvent;;22045;Sainte-Brigitte-de-Laval;G0A3K0;1;1;0;0;0;;-71.193578;47.001018;Préscolaire - Primaire;734000;Franco;4_OrgImm_Franco_presc_prim
848;20200706;122021023;821447;CFP de l'Envolée;Centre de formation professionnelle de l'Envolée;141, boulevard Taché Est;;G5V1B9;18050;Montmagny;821047;Louis-Jacques-Casault, secondaire;141, boulevard Taché Est;;18050;Montmagny;G5V1B9;0;0;0;1;0;http://www.cfpenvolee.com/;-70.558274;46.984907;Formation professionnelle;821000;Franco;8_OrgImm_Franco_Fp
849;20200706;121961023;821383;CEA de Montmagny-L'Islet-Nord;Centre d'éducation des adultes de Montmagny - L'Islet-Nord;111, rue Saint-Pierre;;G5V2P7;18050;Montmagny;821047;Louis-Jacques-Casault, secondaire;141, boulevard Taché Est;;18050;Montmagny;G5V1B9;0;0;0;0;1;http://ceamontmagnylislet.cscotesud.qc.ca/;-70.558274;46.984907;Éducation aux adultes;821000;Franco;9_OrgImm_Franco_Adu
850;20200706;121841023;821247;École secondaire Louis-Jacques-Casault;École secondaire Louis-Jacques-Casault;141, boulevard Taché Est;;G5V1B9;18050;Montmagny;821047;Louis-Jacques-Casault, secondaire;141, boulevard Taché Est;;18050;Montmagny;G5V1B9;0;0;1;0;0;http://casault.cscotesud.qc.ca/;-70.558274;46.984907;Secondaire;821000;Franco;3_OrgImm_Franco_secondaire
851;20200706;121961025;821383;CEA de Montmagny-L'Islet-Nord;Centre d'éducation des adultes de Montmagny - L'Islet-Nord;111, rue Saint-Pierre;;G5V2P7;18050;Montmagny;821051;Bon-Pasteur, secondaire;166, rue des Pionniers Ouest;;17078;L'Islet;G0R2B0;0;0;0;0;1;http://ceamontmagnylislet.cscotesud.qc.ca/;-70.376948;47.119668;Éducation aux adultes;821000;Franco;9_OrgImm_Franco_Adu
852;20200706;121851025;821251;École secondaire Bon-Pasteur;École secondaire Bon-Pasteur;166, chemin des Pionniers Ouest;;G0R2B0;17078;L'Islet;821051;Bon-Pasteur, secondaire;166, rue des Pionniers Ouest;;17078;L'Islet;G0R2B0;0;0;1;0;0;http://bonpasteur.cscotesud.qc.ca/;-70.376948;47.119668;Secondaire;821000;Franco;3_OrgImm_Franco_secondaire
